checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted
<0DM,6,Existing_loans_paid_till_now,furniture/equipment,1374,<100DM,1_to_4yrs,1,male_single,None,2,real_estate,36,bank,own,h1,unskilled_resident,1,Yes,yes,2
None,6,No_loans_taken_or_all_paid,radio/television,426,<100DM,>7yrs,4,male_married/widowed,None,4,car_or_other_nonsavings,39,none,own,ks1,unskilled_resident,1,No,yes,2
>200DM,12,All_loans_paid_duly,radio/television,409,>1000DM,1_to_4yrs,3,female_divorced/separated/married,None,3,real_estate,42,none,rent,22,skilled_employee/official,1,No,yes,2
0_to_200DM,7,Existing_loans_paid_till_now,radio/television,2415,<100DM,1_to_4yrs,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_employee/official,1,No,yes,2
<0DM,60,Delay_in_past,business,6836,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,63,none,own,rv22,skilled_employee/official,1,Yes,yes,1
0_to_200DM,18,Existing_loans_paid_till_now,business,1913,>1000DM,<1yr,3,male_married/widowed,None,3,real_estate,36,bank,own,1,skilled_employee/official,1,Yes,yes,2
<0DM,24,Existing_loans_paid_till_now,furniture/equipment,4020,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,stores,own,1,skilled_employee/official,1,No,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,new_car,5866,100_to_500DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,30,none,own,n22,skilled_employee/official,1,Yes,yes,2
None,12,Critical_acct_other_loans_existing,business,1264,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,57,none,rent,j1,unskilled_resident,1,No,yes,2
>200DM,12,Existing_loans_paid_till_now,furniture/equipment,1474,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,33,bank,own,ub1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,45,Critical_acct_other_loans_existing,radio/television,4746,<100DM,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,25,none,own,s22,unskilled_resident,1,No,yes,1
None,48,Critical_acct_other_loans_existing,education,6110,<100DM,1_to_4yrs,1,male_single,None,3,unknown/no_property,31,bank,for_free,u1,skilled_employee/official,1,Yes,yes,2
>200DM,18,Existing_loans_paid_till_now,radio/television,2100,<100DM,1_to_4yrs,4,male_single,co-applicant,2,real_estate,37,stores,own,r1,skilled_employee/official,1,No,yes,1
>200DM,10,Existing_loans_paid_till_now,domestic_appliances,1225,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,37,none,own,j1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,9,Existing_loans_paid_till_now,radio/television,458,<100DM,1_to_4yrs,4,male_single,None,3,real_estate,24,none,own,do1,skilled_employee/official,1,No,yes,2
None,30,Existing_loans_paid_till_now,radio/television,2333,500_to_1000DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,30,bank,own,f1,management_self-employed_highly_qualified/officer,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,1158,500_to_1000DM,1_to_4yrs,3,male_divorced/separated,None,1,car_or_other_nonsavings,26,none,own,zn1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,18,Delay_in_past,repairs,6204,<100DM,1_to_4yrs,2,male_single,None,4,real_estate,44,none,own,r1,unskilled_resident,2,Yes,yes,2
<0DM,30,Critical_acct_other_loans_existing,used_car,6187,100_to_500DM,4_to_7yrs,1,male_married/widowed,None,4,car_or_other_nonsavings,24,none,rent,22,skilled_employee/official,1,No,yes,2
<0DM,48,Critical_acct_other_loans_existing,used_car,6143,<100DM,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,58,stores,for_free,fo22,unskilled_resident,1,No,yes,1
None,11,Critical_acct_other_loans_existing,new_car,1393,<100DM,<1yr,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,35,none,own,22,management_self-employed_highly_qualified/officer,1,No,yes,2
None,36,Existing_loans_paid_till_now,radio/television,2299,500_to_1000DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,39,none,own,1,skilled_employee/official,1,No,yes,2
<0DM,6,Existing_loans_paid_till_now,used_car,1352,500_to_1000DM,unemployed,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,none,rent,1,unemployed/unskilled_nonresident,1,Yes,yes,2
None,11,Critical_acct_other_loans_existing,new_car,7228,<100DM,1_to_4yrs,1,male_single,None,4,building_society_savings_agreement/life_insurance,39,none,own,22,unskilled_resident,1,No,yes,2
None,12,Existing_loans_paid_till_now,radio/television,2073,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,2,real_estate,28,none,own,z1,skilled_employee/official,1,No,yes,2
0_to_200DM,24,Delay_in_past,furniture/equipment,2333,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,29,bank,own,wk1,unskilled_resident,1,No,yes,2
0_to_200DM,27,Delay_in_past,used_car,5965,<100DM,>7yrs,1,male_single,None,2,car_or_other_nonsavings,30,none,own,22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
None,12,Existing_loans_paid_till_now,radio/television,1262,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,25,none,own,1,skilled_employee/official,1,No,yes,2
None,18,Existing_loans_paid_till_now,used_car,3378,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,1,building_society_savings_agreement/life_insurance,31,none,own,y1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,36,Delay_in_past,new_car,2225,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,57,bank,for_free,22,skilled_employee/official,1,Yes,yes,1
None,6,All_loans_paid_duly,new_car,783,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,guarantor,2,real_estate,26,stores,own,fz1,unskilled_resident,2,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,6468,Unknown_or_no_savings_acct,unemployed,2,male_single,None,1,unknown/no_property,52,none,own,1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
None,36,Critical_acct_other_loans_existing,radio/television,9566,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,31,stores,own,22,skilled_employee/official,1,No,yes,2
>200DM,18,Existing_loans_paid_till_now,new_car,1961,<100DM,>7yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,23,none,own,z1,management_self-employed_highly_qualified/officer,1,No,yes,2
<0DM,36,Critical_acct_other_loans_existing,furniture/equipment,6229,<100DM,<1yr,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,23,none,rent,ouv22,unskilled_resident,1,Yes,yes,1
0_to_200DM,9,Existing_loans_paid_till_now,business,1391,<100DM,1_to_4yrs,2,male_married/widowed,None,1,real_estate,27,bank,own,s1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,15,Critical_acct_other_loans_existing,radio/television,1537,Unknown_or_no_savings_acct,>7yrs,4,male_single,guarantor,4,real_estate,50,none,own,22,skilled_employee/official,1,Yes,yes,2
0_to_200DM,36,No_loans_taken_or_all_paid,business,1953,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,61,none,for_free,wt1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
0_to_200DM,48,No_loans_taken_or_all_paid,business,14421,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,25,none,own,g1,skilled_employee/official,1,Yes,yes,1
None,24,Existing_loans_paid_till_now,radio/television,3181,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,26,none,own,1,skilled_employee/official,1,Yes,yes,2
None,27,Existing_loans_paid_till_now,repairs,5190,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,48,none,own,bb4444,skilled_employee/official,2,Yes,yes,2
None,12,Existing_loans_paid_till_now,radio/television,2171,<100DM,<1yr,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,bank,own,1,skilled_employee/official,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,new_car,1007,>1000DM,1_to_4yrs,4,male_married/widowed,None,1,real_estate,22,none,own,p1,skilled_employee/official,1,No,yes,2
None,36,Existing_loans_paid_till_now,education,1819,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,37,stores,for_free,nr1,skilled_employee/official,1,Yes,yes,1
None,36,Existing_loans_paid_till_now,radio/television,2394,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,25,none,own,1,skilled_employee/official,1,No,yes,2
None,36,Existing_loans_paid_till_now,used_car,8133,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,bank,own,o1,skilled_employee/official,1,No,yes,2
None,7,Critical_acct_other_loans_existing,radio/television,730,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,46,none,rent,bp22,unskilled_resident,1,Yes,yes,2
<0DM,8,Critical_acct_other_loans_existing,other,1164,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,51,bank,for_free,22,management_self-employed_highly_qualified/officer,2,Yes,yes,2
0_to_200DM,42,Critical_acct_other_loans_existing,business,5954,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,41,bank,own,ebp22,unskilled_resident,1,No,yes,2
<0DM,36,Existing_loans_paid_till_now,education,1977,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,40,none,own,b1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
<0DM,12,Critical_acct_other_loans_existing,used_car,1526,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,66,none,for_free,22,management_self-employed_highly_qualified/officer,1,No,yes,2
<0DM,42,Existing_loans_paid_till_now,radio/television,3965,<100DM,<1yr,4,male_single,None,3,car_or_other_nonsavings,34,none,own,g1,skilled_employee/official,1,No,yes,1
0_to_200DM,11,Delay_in_past,radio/television,4771,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,51,none,own,ha1,skilled_employee/official,1,No,yes,2
None,54,No_loans_taken_or_all_paid,used_car,9436,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,39,none,own,g1,unskilled_resident,2,No,yes,2
0_to_200DM,30,Existing_loans_paid_till_now,furniture/equipment,3832,<100DM,<1yr,2,male_married/widowed,None,1,building_society_savings_agreement/life_insurance,22,none,own,n1,skilled_employee/official,1,No,yes,2
None,24,Existing_loans_paid_till_now,radio/television,5943,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,44,none,own,22,skilled_employee/official,1,Yes,yes,1
None,15,Existing_loans_paid_till_now,radio/television,1213,500_to_1000DM,>7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,47,stores,own,1,skilled_employee/official,1,Yes,yes,2
None,18,Existing_loans_paid_till_now,business,1568,100_to_500DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,none,rent,1,unskilled_resident,1,No,yes,2
<0DM,24,Existing_loans_paid_till_now,other,1755,<100DM,>7yrs,4,female_divorced/separated/married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,Yes,yes,2
<0DM,10,Existing_loans_paid_till_now,radio/television,2315,<100DM,>7yrs,3,male_single,None,4,real_estate,52,none,own,z1,unskilled_resident,1,No,yes,2
None,12,Critical_acct_other_loans_existing,business,1412,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,2,real_estate,29,none,own,22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,18,Critical_acct_other_loans_existing,furniture/equipment,1295,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,none,own,a22,skilled_employee/official,1,No,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,education,12612,100_to_500DM,1_to_4yrs,1,male_single,None,4,unknown/no_property,47,none,for_free,k1,skilled_employee/official,2,Yes,yes,1
<0DM,18,Existing_loans_paid_till_now,new_car,2249,100_to_500DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,30,none,own,a1,management_self-employed_highly_qualified/officer,2,Yes,yes,2
<0DM,12,No_loans_taken_or_all_paid,repairs,1108,<100DM,4_to_7yrs,4,male_single,None,3,real_estate,28,none,own,l22,skilled_employee/official,1,No,yes,1
None,12,Critical_acct_other_loans_existing,radio/television,618,<100DM,>7yrs,4,male_single,None,4,real_estate,56,none,own,qzp1,skilled_employee/official,1,No,yes,2
<0DM,12,Critical_acct_other_loans_existing,used_car,1409,<100DM,>7yrs,4,male_single,None,3,real_estate,54,none,own,op1,skilled_employee/official,1,No,yes,2
None,12,Critical_acct_other_loans_existing,radio/television,797,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,33,bank,own,v1,unskilled_resident,2,No,yes,1
>200DM,24,Critical_acct_other_loans_existing,furniture/equipment,3617,Unknown_or_no_savings_acct,>7yrs,4,male_single,co-applicant,4,unknown/no_property,20,none,rent,22,skilled_employee/official,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,new_car,1318,>1000DM,>7yrs,4,male_single,None,4,real_estate,54,none,own,z1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,54,No_loans_taken_or_all_paid,business,15945,<100DM,<1yr,3,male_single,None,4,unknown/no_property,58,none,rent,t1,skilled_employee/official,1,Yes,yes,1
None,12,Critical_acct_other_loans_existing,education,2012,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,61,none,own,1,skilled_employee/official,1,No,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,business,2622,100_to_500DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,34,none,own,h1,skilled_employee/official,1,No,yes,2
0_to_200DM,36,Critical_acct_other_loans_existing,radio/television,2337,<100DM,>7yrs,4,male_single,None,4,real_estate,36,none,own,xx1,skilled_employee/official,1,No,yes,2
0_to_200DM,20,Delay_in_past,used_car,7057,Unknown_or_no_savings_acct,4_to_7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,36,bank,rent,zv22,management_self-employed_highly_qualified/officer,2,Yes,yes,2
None,24,Existing_loans_paid_till_now,new_car,1469,100_to_500DM,>7yrs,4,male_married/widowed,None,4,real_estate,41,none,rent,p1,unskilled_resident,1,No,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,radio/television,2323,<100DM,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,24,none,rent,q1,skilled_employee/official,1,No,yes,2
None,6,Delay_in_past,radio/television,932,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,24,none,own,n1,skilled_employee/official,1,No,yes,2
0_to_200DM,9,Critical_acct_other_loans_existing,furniture/equipment,1919,<100DM,4_to_7yrs,4,male_single,None,3,car_or_other_nonsavings,35,none,rent,1,skilled_employee/official,1,Yes,yes,2
None,12,Existing_loans_paid_till_now,used_car,2445,Unknown_or_no_savings_acct,<1yr,2,male_married/widowed,None,4,car_or_other_nonsavings,26,none,rent,1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,24,Critical_acct_other_loans_existing,other,11938,<100DM,1_to_4yrs,2,male_single,co-applicant,3,car_or_other_nonsavings,39,none,own,22,management_self-employed_highly_qualified/officer,2,Yes,yes,1
None,18,All_loans_paid_duly,new_car,6458,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,39,bank,own,22,management_self-employed_highly_qualified/officer,2,Yes,yes,1
0_to_200DM,12,Existing_loans_paid_till_now,new_car,6078,<100DM,4_to_7yrs,2,male_single,None,2,car_or_other_nonsavings,32,none,own,1,skilled_employee/official,1,No,yes,2
<0DM,24,Existing_loans_paid_till_now,furniture/equipment,7721,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,none,own,rx1,skilled_employee/official,1,Yes,no,2
0_to_200DM,14,Existing_loans_paid_till_now,business,1410,500_to_1000DM,>7yrs,1,male_married/widowed,None,2,real_estate,35,none,own,z1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,6,Delay_in_past,business,1449,100_to_500DM,>7yrs,1,male_divorced/separated,None,2,car_or_other_nonsavings,31,bank,own,c22,skilled_employee/official,2,No,yes,2
>200DM,15,Existing_loans_paid_till_now,education,392,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,none,rent,p1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,new_car,6260,<100DM,4_to_7yrs,3,male_single,None,3,real_estate,28,none,rent,1,unskilled_resident,1,No,yes,2
None,36,Critical_acct_other_loans_existing,new_car,7855,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,25,stores,own,hh22,skilled_employee/official,1,Yes,yes,1
<0DM,12,Existing_loans_paid_till_now,radio/television,1680,500_to_1000DM,>7yrs,3,male_married/widowed,None,1,real_estate,35,none,own,g1,skilled_employee/official,1,No,yes,2
None,48,Critical_acct_other_loans_existing,radio/television,3578,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,1,real_estate,47,none,own,1,skilled_employee/official,1,Yes,yes,2
<0DM,42,Existing_loans_paid_till_now,radio/television,7174,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,30,none,own,z1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
<0DM,10,Critical_acct_other_loans_existing,furniture/equipment,2132,Unknown_or_no_savings_acct,<1yr,2,female_divorced/separated/married,co-applicant,3,real_estate,27,none,rent,w22,skilled_employee/official,1,No,no,2
<0DM,33,Critical_acct_other_loans_existing,furniture/equipment,4281,500_to_1000DM,1_to_4yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,none,own,22,skilled_employee/official,1,No,yes,1
0_to_200DM,12,Critical_acct_other_loans_existing,new_car,2366,500_to_1000DM,4_to_7yrs,3,male_divorced/separated,None,3,car_or_other_nonsavings,36,none,own,1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,21,Existing_loans_paid_till_now,radio/television,1835,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,real_estate,25,none,own,x22,skilled_employee/official,1,Yes,yes,1
None,24,Critical_acct_other_loans_existing,used_car,3868,<100DM,>7yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,41,none,rent,22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
None,12,Existing_loans_paid_till_now,furniture/equipment,1768,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,24,none,rent,ziu1,unskilled_resident,1,No,yes,2
>200DM,10,Critical_acct_other_loans_existing,new_car,781,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,63,none,for_free,22,skilled_employee/official,1,Yes,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,furniture/equipment,1924,Unknown_or_no_savings_acct,<1yr,4,female_divorced/separated/married,None,3,real_estate,27,none,rent,j1,skilled_employee/official,1,No,yes,1
<0DM,12,Critical_acct_other_loans_existing,new_car,2121,<100DM,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,30,none,own,m22,skilled_employee/official,1,No,yes,2
<0DM,12,Existing_loans_paid_till_now,radio/television,701,<100DM,1_to_4yrs,4,male_married/widowed,None,2,real_estate,40,none,own,1,unskilled_resident,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,repairs,639,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,30,none,own,1,skilled_employee/official,1,No,yes,1
0_to_200DM,12,Critical_acct_other_loans_existing,used_car,1860,<100DM,unemployed,4,male_single,None,2,car_or_other_nonsavings,34,none,own,tq22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,12,Critical_acct_other_loans_existing,new_car,3499,<100DM,1_to_4yrs,3,female_divorced/separated/married,co-applicant,2,real_estate,29,none,own,22,skilled_employee/official,1,No,yes,1
0_to_200DM,48,Existing_loans_paid_till_now,new_car,8487,Unknown_or_no_savings_acct,4_to_7yrs,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,24,none,own,c1,skilled_employee/official,1,No,yes,2
<0DM,36,Delay_in_past,education,6887,<100DM,1_to_4yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,29,stores,own,m1,skilled_employee/official,1,Yes,yes,1
None,15,Existing_loans_paid_till_now,furniture/equipment,2708,<100DM,<1yr,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,bank,own,t22,unskilled_resident,1,No,yes,2
None,18,Existing_loans_paid_till_now,furniture/equipment,1984,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,47,bank,for_free,22,skilled_employee/official,1,No,yes,2
None,60,Existing_loans_paid_till_now,radio/television,10144,100_to_500DM,4_to_7yrs,2,female_divorced/separated/married,None,4,real_estate,21,none,own,b1,skilled_employee/official,1,Yes,yes,2
None,12,Critical_acct_other_loans_existing,radio/television,1240,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,2,real_estate,38,none,own,b22,skilled_employee/official,1,Yes,yes,2
None,27,Delay_in_past,used_car,8613,>1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,none,own,22,skilled_employee/official,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,766,500_to_1000DM,1_to_4yrs,4,male_single,None,3,real_estate,66,none,own,h1,unskilled_resident,1,No,yes,1
0_to_200DM,15,Critical_acct_other_loans_existing,radio/television,2728,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,guarantor,2,real_estate,35,bank,own,333,skilled_employee/official,1,Yes,yes,2
>200DM,12,Existing_loans_paid_till_now,radio/television,1881,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,44,none,rent,cis1,unskilled_resident,1,Yes,yes,2
>200DM,6,Existing_loans_paid_till_now,new_car,709,>1000DM,<1yr,2,male_married/widowed,None,2,real_estate,27,none,own,g1,unemployed/unskilled_nonresident,1,No,no,2
0_to_200DM,36,Existing_loans_paid_till_now,radio/television,4795,<100DM,<1yr,4,female_divorced/separated/married,None,1,unknown/no_property,30,none,own,1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,27,Existing_loans_paid_till_now,radio/television,3416,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,27,none,own,f1,management_self-employed_highly_qualified/officer,1,No,yes,2
